Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,Acente_Adi,Sehir,Bolge,CustomerName,CustomerType,Filo_Retail,Yas,Cinsiyet,Gelir_Grubu,S2_Stenos_Kredisi_Kullandi_mi,S3_Tercih_Etmeme_Nedeni,S12_En_Onemli_Neden,S4_Teklif_Alinan_Kuruluslar,S5_Kredi_Kullanilan_Kurulus,Odeme_Yontemi,S6_Bilgilendirme_Memnuniyeti,S7_Dijital_Kolayliklarin_Onemi,S8_Marka_Baglantisi_Etkili_mi,S9_Onemli_Ek_Avantajlar,S10_Kasko_Tercih_Etmeme_Nedeni,S11_Gelecekte_Tercih_Olasiligi,M1_Veri_Paylasim_Izni,S6_Endeks_100,S6_Top2Box,S11_Yuksek_Egilim
CSI-NCR-00042,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-17,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Temirhan Zorlu,Otomobil-Binek,Retail,45,Erkek,25.000 TL altı,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Şekerbank; Burgan Bank,Şekerbank,Rakip Kuruluş Kredisi,6,8,2,Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi; İşlem masrafı,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,55.6,0,1
CSI-NCR-00043,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-07-09,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Doç. Beyler Feyruz Şafak,Otomobil-Binek,Retail,43,Kadın,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Halk Bankası; Kuveyt Türk; Anadolubank; İş Bankası,Halk Bankası,Rakip Kuruluş Kredisi,6,10,2,Vade seçenekleri; Sigorta kolaylığı; Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği,%51 - %75,1,55.6,0,1
CSI-NCR-00044,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-29,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Tanyolaç Ergül,Otomobil-Binek,Retail,62,Erkek,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Ziraat Bankası; İş Bankası,Ziraat Bankası,Rakip Kuruluş Kredisi,5,9,1,Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği,%51 - %75,1,44.4,0,1
CSI-NCR-00045,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-29,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Yrd. Doç. Kızıltunç Cindoruk Ülker,Otomobil-Binek,Filo,34,Kadın,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Akbank; Kuveyt Türk; OdeaBank,OdeaBank,Rakip Kuruluş Kredisi,6,8,2,Sigorta kolaylığı; Vade seçenekleri; Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,55.6,0,0
CSI-NCR-00046,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-28,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Recepali Arsoy,Otomobil-Binek,Retail,50,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Türkiye Finans; Kuveyt Türk,Henüz kredi kullanmadım,Nakit / Havale,5,5,1,Özel müşteri temsilcisi; Ödeme tatili / Ödemesiz dönem; Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,44.4,0,0
CSI-NCR-00047,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-24,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Remazan Duran,Otomobil-Binek,Retail,34,Kadın,25.000 TL altı,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Garanti Bankası; Burgan Bank,Garanti Bankası,Rakip Kuruluş Kredisi,6,8,1,İşlem masrafı,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,1,55.6,0,0
CSI-NCR-00048,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-24,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Kibar Bilge,Otomobil-Binek,Retail,29,Erkek,50.001 - 85.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Anadolubank; İş Bankası; OdeaBank,Henüz kredi kullanmadım,Nakit / Havale,5,10,2,Vade seçenekleri,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,2,44.4,0,0
CSI-NCR-00049,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-01-03,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Bayan Nürice Arsoy Eraslan,Otomobil-Binek,Filo,42,Kadın,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,İş Bankası; AlBaraka,Henüz kredi kullanmadım,Nakit / Havale,6,9,2,Sigorta kolaylığı; Özel müşteri temsilcisi; Online store,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,1,55.6,0,0
CSI-NCR-00050,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-18,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Hüsmen Çetin,Otomobil-Binek,Retail,52,Kadın,50.001 - 85.000 TL,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,ING; Ziraat Bankası; Türkiye Finans,ING,Rakip Kuruluş Kredisi,9,8,1,Sigorta kolaylığı; İşlem masrafı,Servis hizmet memnuniyetsizliği,%26 - %50,1,88.9,1,0
CSI-NCR-00051,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-13,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Hazrat Yüksel,Otomobil-Binek,Retail,42,Erkek,50.001 - 85.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Vakıflar Bankası; AlBaraka; Kuveyt Türk,Vakıflar Bankası,Rakip Kuruluş Kredisi,4,8,2,Özel müşteri temsilcisi; Ödeme tatili / Ödemesiz dönem,Sigorta şirketi memnuniyetsizliği,%51 - %75,2,33.3,0,1
CSI-NCR-00052,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-03-09,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Öncel Seçme Korutürk İnönü,Hafif Ticari,Retail,26,Erkek,85.001 - 150.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Burgan Bank; Alternatifbank; Şekerbank,Burgan Bank,Rakip Kuruluş Kredisi,7,8,1,Sigorta kolaylığı,Sigorta şirketi memnuniyetsizliği,%51 - %75,1,66.7,0,1
CSI-NCR-00053,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-11-03,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Emiş Türk,Otomobil-Binek,Filo,35,Erkek,50.001 - 85.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Burgan Bank; ING,Burgan Bank,Rakip Kuruluş Kredisi,6,9,1,Sigorta kolaylığı; Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi,Sigorta şirketi memnuniyetsizliği,%51 - %75,2,55.6,0,1
CSI-NCR-00054,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-07,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Zöhrehan Naide Alemdar Şensoy,Otomobil-Binek,Retail,41,Erkek,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Akbank; Türkiye Finans,Akbank,Rakip Kuruluş Kredisi,3,9,2,Özel müşteri temsilcisi; Online store; Vade seçenekleri,Servis hizmet memnuniyetsizliği,%0 -%25,1,22.2,0,0
CSI-NCR-00055,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-11-28,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Av. Özakan Tarhan,Otomobil-Binek,Filo,37,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Ziraat Bankası; ING; Halk Bankası,Henüz kredi kullanmadım,Nakit / Havale,9,6,1,Vade seçenekleri; Sigorta kolaylığı; Özel müşteri temsilcisi,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,88.9,1,1
CSI-NCR-00056,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-28,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Doç. Söyler Gülbeyan Sezgin Yaman,Otomobil-Binek,Retail,53,Erkek,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Türkiye Finans; Akbank; Ziraat Bankası; Kuveyt Türk,Türkiye Finans,Rakip Kuruluş Kredisi,9,7,1,Online store,Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,88.9,1,1
CSI-NCR-00057,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-08-24,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Yağızkurt Öcalan,Otomobil-Binek,Filo,47,Kadın,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,TEB (Türk Ekonomi Bankası); Garanti Bankası; Yapı ve Kredi Bankası,TEB (Türk Ekonomi Bankası),Rakip Kuruluş Kredisi,9,4,1,Ödeme tatili / Ödemesiz dönem,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%26 - %50,1,88.9,1,0
CSI-NCR-00058,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-05-04,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Bayan Mecide Gülsalın Türk Çetin,Hafif Ticari,Retail,47,Erkek,25.000 TL altı,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Türkiye Finans; TEB (Türk Ekonomi Bankası); Finans Bank,Türkiye Finans,Rakip Kuruluş Kredisi,2,9,2,Online store; Sigorta kolaylığı,Sigorta şirketi memnuniyetsizliği,%0 -%25,1,11.1,0,0
CSI-NCR-00059,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-20,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Aköz Hayrioğlu,Otomobil-Binek,Filo,42,Kadın,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,İş Bankası; AlBaraka; Alternatifbank; Burgan Bank,İş Bankası,Rakip Kuruluş Kredisi,6,10,1,Sigorta kolaylığı; Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,55.6,0,1
CSI-NCR-00060,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-01-04,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Varlık Pesent Alemdar,Otomobil-Binek,Filo,43,Erkek,150.000 TL üzeri,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,ING; İş Bankası; QNB Fibabank,Henüz kredi kullanmadım,Nakit / Havale,7,8,2,Online store; Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,66.7,0,0
CSI-NCR-00061,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-22,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Çev. Aycagül İnönü Şensoy,Hafif Ticari,Filo,47,Erkek,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Akbank; İş Bankası; Ziraat Bankası,Akbank,Rakip Kuruluş Kredisi,9,10,1,İşlem masrafı; Online store; Vade seçenekleri,Servis hizmet memnuniyetsizliği,%76 - %100,1,88.9,1,1
CSI-NCR-00062,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-02,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Ferat Ergül,Otomobil-Binek,Retail,43,Kadın,25.000 TL altı,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Şekerbank; TEB (Türk Ekonomi Bankası); Ziraat Bankası; Kuveyt Türk,Şekerbank,Rakip Kuruluş Kredisi,5,10,2,İşlem masrafı,Sigorta şirketi memnuniyetsizliği,%0 -%25,1,44.4,0,0
CSI-NCR-00063,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-03-09,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Turabi Güçal Aslan,Otomobil-Binek,Retail,35,Erkek,85.001 - 150.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,QNB Fibabank; Yapı ve Kredi Bankası,QNB Fibabank,Rakip Kuruluş Kredisi,9,8,2,Vade seçenekleri; İşlem masrafı; Sigorta kolaylığı,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,88.9,1,1
CSI-NCR-00064,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-11-04,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Öztürk Kamar Şafak Akgündüz,Otomobil-Binek,Filo,48,Erkek,25.000 TL altı,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Vakıflar Bankası; OdeaBank,OdeaBank,Rakip Kuruluş Kredisi,7,6,1,İşlem masrafı; Vade seçenekleri; Online store,Servis hizmet memnuniyetsizliği,%26 - %50,2,66.7,0,0
CSI-NCR-00065,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-29,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Sejda Akçay Kısakürek,Otomobil-Binek,Retail,49,Erkek,50.001 - 85.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,AlBaraka; Şekerbank; Denizbank,Henüz kredi kullanmadım,Nakit / Havale,7,8,2,İşlem masrafı,Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,66.7,0,0
CSI-NCR-00066,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-18,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Güldünya Soylu,Hafif Ticari,Retail,25,Erkek,25.001 - 50.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Türkiye Finans; Anadolubank,Türkiye Finans,Rakip Kuruluş Kredisi,9,7,1,İşlem masrafı; Online store,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,88.9,1,1
CSI-NCR-00067,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-06-28,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Okt. Vezrife Aslan Sezgin,Otomobil-Binek,Retail,62,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Türkiye Finans; Akbank,Henüz kredi kullanmadım,Nakit / Havale,8,8,2,Online store,Servis hizmet memnuniyetsizliği,%76 - %100,1,77.8,0,1
CSI-NCR-00068,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-03-01,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Yunt Şafak,Otomobil-Binek,Retail,55,Kadın,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,ING; OdeaBank; Anadolubank,ING,Rakip Kuruluş Kredisi,6,6,2,Sigorta kolaylığı; Vade seçenekleri,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,55.6,0,1
CSI-NCR-00069,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-10-23,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Melihcan Tevetoğlu,Otomobil-Binek,Retail,63,Erkek,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Burgan Bank; Halk Bankası; İş Bankası; Yapı ve Kredi Bankası,Burgan Bank,Rakip Kuruluş Kredisi,5,4,1,Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi,Sigorta şirketi memnuniyetsizliği; Servis hizmet memnuniyetsizliği,%26 - %50,1,44.4,0,0
CSI-NCR-00070,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-15,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Arş. Gör. Filit Hayrioğlu,Otomobil-Binek,Retail,31,Erkek,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Halk Bankası; Burgan Bank,Halk Bankası,Rakip Kuruluş Kredisi,5,8,2,Online store; Özel müşteri temsilcisi,Sigorta şirketi memnuniyetsizliği,%51 - %75,1,44.4,0,1
CSI-NCR-00071,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-14,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Asım Günşen Ülker Arslan,Otomobil-Binek,Retail,39,Kadın,25.001 - 50.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,HSBC Bank; AlBaraka; Halk Bankası,Henüz kredi kullanmadım,Nakit / Havale,4,9,2,Ödeme tatili / Ödemesiz dönem; Online store; Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%0 -%25,1,33.3,0,0
CSI-NCR-00072,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-28,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Semat Şefiye Demirel,Hafif Ticari,Retail,39,Kadın,150.000 TL üzeri,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,İş Bankası; Kuveyt Türk,İş Bankası,Rakip Kuruluş Kredisi,4,6,2,İşlem masrafı,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,2,33.3,0,0
CSI-NCR-00073,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-02,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Uz. Selvi Necva Dumanlı,Hafif Ticari,Retail,34,Erkek,85.001 - 150.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Yapı ve Kredi Bankası; Vakıflar Bankası; Şekerbank; Ziraat Bankası,Yapı ve Kredi Bankası,Rakip Kuruluş Kredisi,6,9,2,Özel müşteri temsilcisi; Sigorta kolaylığı; Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği,%26 - %50,1,55.6,0,0
CSI-NCR-00074,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-27,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Yunt Huzuri Mansız,Otomobil-Binek,Retail,39,Kadın,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Denizbank; Akbank; Alternatifbank,Denizbank,Rakip Kuruluş Kredisi,3,4,2,Sigorta kolaylığı; Online store,Sigorta şirketi memnuniyetsizliği,%26 - %50,1,22.2,0,0
CSI-NCR-00075,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-01,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Çev. Açılay Bergen Ülker,Otomobil-Binek,Retail,60,Erkek,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Şekerbank; Garanti Bankası,Şekerbank,Rakip Kuruluş Kredisi,5,10,2,Ödeme tatili / Ödemesiz dönem,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,44.4,0,0
CSI-NCR-00076,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-08-12,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Nezengül Zorlu Sezgin,Hafif Ticari,Retail,38,Kadın,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Vakıflar Bankası; Anadolubank; Ziraat Bankası,Henüz kredi kullanmadım,Nakit / Havale,4,7,2,Online store; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,2,33.3,0,0
CSI-NCR-00077,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-10-05,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Bay Beyda Akdeniz,Hafif Ticari,Retail,41,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Yapı ve Kredi Bankası,Henüz kredi kullanmadım,Nakit / Havale,6,7,1,Sigorta kolaylığı; Online store; Ödeme tatili / Ödemesiz dönem,Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,55.6,0,1
CSI-NCR-00078,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-17,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Bayan Egenur Bediriye Yüksel Öcalan,Hafif Ticari,Filo,35,Kadın,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,ING; Anadolubank,ING,Rakip Kuruluş Kredisi,6,9,1,Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması; Sigorta şirketi memnuniyetsizliği,%26 - %50,1,55.6,0,0
CSI-NCR-00079,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-08-19,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Nevsale Nurtaç Akça Durdu,Hafif Ticari,Retail,50,Kadın,50.001 - 85.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,OdeaBank; ING,OdeaBank,Rakip Kuruluş Kredisi,4,5,2,Sigorta kolaylığı,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,33.3,0,1
CSI-NCR-00080,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-20,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Talayer Birsen Tarhan,Otomobil-Binek,Retail,62,Kadın,25.001 - 50.000 TL,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,ING,ING,Rakip Kuruluş Kredisi,8,3,2,Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,77.8,0,1
CSI-NCR-00081,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-23,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Okt. Nura Selvi İnönü Erdoğan,Otomobil-Binek,Retail,66,Erkek,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Halk Bankası; Denizbank; Burgan Bank,Halk Bankası,Rakip Kuruluş Kredisi,3,5,1,Vade seçenekleri; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,1,22.2,0,0
CSI-NCR-00082,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-23,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Rohat Arsoy,Otomobil-Binek,Retail,41,Kadın,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Burgan Bank; Şekerbank,Burgan Bank,Rakip Kuruluş Kredisi,5,4,2,Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,%0 -%25,1,44.4,0,0
CSI-NCR-00083,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-01-30,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Minibe Şensoy Aslan,Otomobil-Binek,Retail,27,Erkek,50.001 - 85.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Akbank,Henüz kredi kullanmadım,Nakit / Havale,9,5,1,Ödeme tatili / Ödemesiz dönem; İşlem masrafı; Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,88.9,1,1
