Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,G1_Acente_Adi,Acente_Adi,Sehir,Bolge,G6_Ad_Soyad,G7_Bolum,G5_Sorumlu_Segment,G4_Gorev_Satis,G4X_Gorev_Sigorta,G3_Calisma_Suresi,Acente_Satis_Basarisi_Endeks_100,M7_Oneri_Duzeyi_Kod,M7_Oneri_Duzeyi,M1c_Baska_Kurumla_Calisiyor_mu,M1a_Yogun_Calisilan_Kurumlar,M1b_Tercih_Nedeni,M4a_Genel_Memnuniyet_Finans,M3_Brand_Retention,M6_Recommendation_NPS,M6x_Brand_Importance,M10_Sadakat_Unsuru_mu,M11_Neden,M8_Mutlu_Eden_Etkenler,M9_Iyilestirilecek_Konular,S1_1_Ziyaret_Genel_Memnuniyet,S1_2_Ziyaret_Sikligi_Memnuniyet,S3a_Kredilendirme_Sureci,S3b_Stenos_CRM_Memnuniyeti,S3bx_Stenos_CRM_Memnuniyeti_Sigorta,S3b_1_CRM_Sistem_Hizi,S3c_CRM_Memnuniyetsizlik_Nedeni,S5c_Egitim_Memnuniyeti,S6_Mobil_App_Bahsediyor_mu,S7_Mobil_App_Oneriyor_mu,S8_Onermeme_Nedeni,Q1_En_Basarili_Sigorta_Sirketleri,M4aX_Kasko_Genel_Memnuniyet,M6x_Kasko_Tavsiye,Q3_Kasko_Onerme_Egilimi,Q5_Onermeme_Nedeni,Q6_Onerme_Nedeni,M1_Veri_Paylasim_Izni,CRM_Memnuniyeti_Birlesik,CRM_Endeks_100,NPS_Kategori,Genel_Memnuniyet_Birlesik
DSI-00029,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-01-25,Stenos İzmir Bornova,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Şali Şener,Satış,Hafif ticari araçlar,2.El Satış Müdürü,,3 yıldan fazla,79.6,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Türkiye Finans,Evrak süreci daha basit,7.0,9.0,7.0,7.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Bankalar gibi şube limitinin olmaması; Kontaktaki kişilerin olumlu sıcak yaklaşımları; Sabit faiz uygulaması,Satış danışmanlarının inisiyatif almaması; Eksik evrak bildiriminin geç haber verilmesi; Tecrübesiz çalışanlarının olması,6.0,5.0,5.0,7.0,,5,,7.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,7.0,66.7,Passive,7.0
DSI-00030,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-07-14,Stenos Adana Seyhan,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Dr. Yalın Binbaşar Yılmaz,Satış,Otomobil,Filo Satış Müdürü,,1 yıldan daha az bir süredir,59.8,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; OdeaBank; Garanti Bankası,Uzun süredir çalışıyoruz,8.0,7.0,7.0,8.0,1.0,,Stenos CRM üzerinden takip yapılabilmesi; Kolay ulaşılabilirlik; Çözüm odaklı olmaları; Bankalar gibi şube limitinin olmaması,Tecrübesiz çalışanlarının olması,6.0,8.0,9.0,9.0,,10,,9.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Passive,8.0
DSI-00031,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-05-24,Stenos Gaziantep Şahinbey,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Oranlı Ertaş,Satış,Otomobil,Acente Operasyon Sorumlusu (S.O.S.),,3 yıldan fazla,57.2,,,,,,6.0,,,7.0,1.0,,Güvenilir bir kurum olması; Toplam paket sunması (sigorta gibi),Telefonlara geri dönülmemesi,,,5.0,6.0,,4,"Ekranlar arası geçiş yavaş, rapor almak zor",6.0,1.0,1.0,,,,,3,Fiyat rekabetçi değil / hasar süreci yavaş,,2,6.0,55.6,,6.0
DSI-00032,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-11-26,Stenos Trabzon Ortahisar,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Badegül Şüküfe Çamurcuoğlu Güçlü,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,78.0,3.0,Önerdiğim birkaç finans kurumundan biridir,2.0,Stenos Auto Finans; Alternatifbank; AlBaraka,Müşteri temsilcisi desteği iyi,8.0,10.0,6.0,8.0,1.0,,Toplam paket sunması (sigorta gibi); Çözüm odaklı olmaları; Sabit faiz uygulaması; Düşük faiz uygulaması,Eksik evrak bildiriminin geç haber verilmesi; Satış danışmanlarının inisiyatif almaması; Faizlerin yüksek olması; Telefonlara geri dönülmemesi,8.0,9.0,7.0,8.0,,7,,5.0,1.0,2.0,Müşteriler dijital kullanmak istemiyor,,,,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,Detractor,8.0
DSI-00033,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-29,Stenos Adana Seyhan,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Bayan Ahter Duran Durmuş,Satış,Otomobil,Filo Satış Müdürü,,3 yıldan fazla,57.7,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; Ziraat Bankası; İş Bankası,Evrak süreci daha basit,6.0,4.0,7.0,5.0,1.0,,Bankalar gibi şube limitinin olmaması; Kontaktaki kişilerin olumlu sıcak yaklaşımları; Yeniden borcu yapılandırması,Telefonların hep meşgul olması ya da cevap verilmemesi; Tecrübesiz çalışanlarının olması; Yeterince eğitim verilmemesi,6.0,6.0,4.0,7.0,,6,,6.0,2.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,2,7.0,66.7,Passive,6.0
DSI-00034,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-10-10,Stenos İstanbul Maslak,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Bayan Almast Yurdaser Gül,Sigorta,,,Sigorta Danışmanı,1 yıldan daha az bir süredir,66.4,,,,,,,,,,,,,,,,,,7.0,5,,,,,,Ray; Mapfre; Türkiye Sigorta,7.0,5.0,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,7.0,66.7,,7.0
DSI-00035,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-01-15,Stenos Adana Seyhan,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Zebirce Arslan,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,53.3,,,,,,,,,,,,,,,,,,8.0,7,,,,,,Zurich; Doğa; Ray,9.0,10.0,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,,9.0
DSI-00036,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-11,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Onuker Alemdar,Sigorta,,,Sigorta müdürü,1 yıldan daha az bir süredir,84.4,,,,,,,,,,,,,,,,,,10.0,10,,,,,,Aksigorta; Quick; Ray,9.0,9.0,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,,9.0
DSI-00037,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-03-16,Stenos Gaziantep Şahinbey,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Prof. Gül Deniz Çamurcuoğlu,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,66.1,2.0,Nadiren önerdiğim finans kurumudur,1.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası); Kuveyt Türk,Faiz avantajı,5.0,4.0,3.0,5.0,1.0,,Eski müşteriyi takip edebilme olanağı; Güvenilir bir kurum olması; Stenos CRM üzerinden takip yapılabilmesi; Toplam paket sunması (sigorta gibi),Evrakların sık sık kaybolması,6.0,4.0,3.0,6.0,,3,"Ekranlar arası geçiş yavaş, rapor almak zor",5.0,2.0,2.0,Süreçte hatırlamıyorum,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,6.0,55.6,Detractor,5.0
DSI-00038,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-23,Stenos Bursa Nilüfer,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Recepali Bilgütay Yüksel Akar,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,82.8,5.0,Kredi için önerdiğim tek finans kurumudur,1.0,Stenos Auto Finans; HSBC Bank; Akbank,Uzun süredir çalışıyoruz,8.0,9.0,9.0,7.0,1.0,,Kontaktaki kişilerin olumlu sıcak yaklaşımları; Esnek ödeme planı sunması,Faizlerin yüksek olması; Telefonlara geri dönülmemesi,9.0,4.0,6.0,9.0,,10,,7.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Promoter,8.0
DSI-00039,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-02-10,Stenos Denizli Merkezefendi,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Nejdet Aslan,Satış,Tüm segmentler,Satış müdürü,,3 yıldan fazla,81.3,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; QNB Fibabank; Akbank,Uzun süredir çalışıyoruz,10.0,9.0,8.0,8.0,1.0,,Stenos CRM sisteminin iyi olması; Eski müşteriyi takip edebilme olanağı; Güvenilir bir kurum olması,Faizlerin yüksek olması,7.0,9.0,10.0,9.0,,8,,6.0,1.0,1.0,,,,,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Passive,10.0
DSI-00040,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-08-08,Stenos Gaziantep Şahinbey,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Beste Arsoy Gülen,Satış,Tüm segmentler,Filo Satış Müdürü,,1 yıl – 3 yıl arası,77.3,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; OdeaBank,Faiz avantajı,9.0,10.0,8.0,9.0,1.0,,Çözüm odaklı olmaları; Stenos CRM üzerinden takip yapılabilmesi,Telefonlara geri dönülmemesi; Telefonların hep meşgul olması ya da cevap verilmemesi,9.0,8.0,8.0,8.0,,9,,8.0,1.0,1.0,,,,,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,Passive,9.0
DSI-00041,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-09,Stenos Samsun İlkadım,Stenos Samsun İlkadım,Samsun,Karadeniz Bölgesi,Yrd. Doç. Heva Hafıza Hançer Tarhan,Satış,Hafif ticari araçlar,2.El Satış Müdürü,,1 yıldan daha az bir süredir,58.6,3.0,Önerdiğim birkaç finans kurumundan biridir,2.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası); Şekerbank,Evrak süreci daha basit,8.0,9.0,10.0,10.0,1.0,,Bankalar gibi şube limitinin olmaması; Stenos CRM sisteminin iyi olması,Kolay ulaşılır olmaması; İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı,5.0,5.0,8.0,7.0,,9,,8.0,2.0,1.0,,,,,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,7.0,66.7,Promoter,8.0
DSI-00042,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-09-23,Stenos Erzurum Yakutiye,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Tunçboğa Akdeniz,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,43.7,,,,,,,,,,,,,,,,,,5.0,3,"Ekranlar arası geçiş yavaş, rapor almak zor",,,,,Doğa; Aksigorta; Mapfre,5.0,2.0,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,5.0,44.4,,5.0
DSI-00043,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-08-31,Stenos Diyarbakır Kayapınar,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Aygutalp Kâmil Kısakürek,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,73.0,5.0,Kredi için önerdiğim tek finans kurumudur,1.0,Stenos Auto Finans; Türkiye Finans; QNB Fibabank,Evrak süreci daha basit,9.0,9.0,10.0,10.0,1.0,,Güvenilir bir kurum olması; Düşük faiz uygulaması; Toplam paket sunması (sigorta gibi); Esnek ödeme planı sunması,Telefonlara geri dönülmemesi; İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı; Faizlerin yüksek olması; Banka kadar esnek olunmaması,8.0,8.0,10.0,7.0,,7,,7.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,7.0,66.7,Promoter,9.0
DSI-00044,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-04-04,Stenos İzmir Bornova,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Çalım Güçlü Yorulmaz,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,70.9,,,,,,,,,,,,,,,,,,5.0,5,"Ekranlar arası geçiş yavaş, rapor almak zor",,,,,Allianz; Anadolu Anonim Türk; Eureko,7.0,7.0,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,5.0,44.4,,7.0
DSI-00045,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-30,Stenos Diyarbakır Kayapınar,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Yadigar Aksu,Sigorta,,,Sigorta Danışmanı,3 yıldan fazla,81.2,,,,,,,,,,,,,,,,,,10.0,10,,,,,,Mapfre; Eureko; Ray,10.0,10.0,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,,10.0
DSI-00046,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-01,Stenos Kayseri Melikgazi,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Omaca Akdeniz,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,71.3,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Akbank,Müşteri temsilcisi desteği iyi,8.0,8.0,10.0,8.0,1.0,,Stenos CRM sisteminin iyi olması; Güvenilir bir kurum olması; Sabit faiz uygulaması; Kontaktaki kişilerin olumlu sıcak yaklaşımları,Telefonların hep meşgul olması ya da cevap verilmemesi; Tecrübesiz çalışanlarının olması,5.0,6.0,7.0,8.0,,7,,9.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,Promoter,8.0
DSI-00047,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-16,Stenos Malatya Battalgazi,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Dr. Müret Özgün Akdeniz,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,53.3,,,,,,,,,,,,,,,,,,6.0,6,"Ekranlar arası geçiş yavaş, rapor almak zor",,,,,Neova; Zurich; Doğa,5.0,2.0,5,Fiyat rekabetçi değil / hasar süreci yavaş,,2,6.0,55.6,,5.0
DSI-00048,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-04,Stenos Diyarbakır Kayapınar,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Rezzak Akınal Bilgin Bilir,Satış,Tüm segmentler,Filo Satış Danışmanı,,3 yıldan fazla,66.3,1.0,Genelde önermediğim finans kurumudur,1.0,Stenos Auto Finans; Anadolubank; Yapı ve Kredi Bankası,Müşteri temsilcisi desteği iyi,6.0,5.0,2.0,8.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Sabit faiz uygulaması; Esnek ödeme planı sunması,Banka kadar esnek olunmaması; Evrakların yavaş kontrol edilmesi; Teknolojik alt yapılarının olmaması,5.0,6.0,7.0,6.0,,6,"Ekranlar arası geçiş yavaş, rapor almak zor",4.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,6.0,55.6,Detractor,6.0
DSI-00049,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-01-30,Stenos Trabzon Ortahisar,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Çev. Aysevim İhsanoğlu Erdoğan,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,79.4,1.0,Genelde önermediğim finans kurumudur,1.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası); Burgan Bank,Müşteri temsilcisi desteği iyi,7.0,5.0,8.0,7.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Güvenilir bir kurum olması; Kontaktaki kişilerin olumlu sıcak yaklaşımları; Finansal açıdan güçlü bir kurum olması; Yeniden borcu yapılandırması,Sürecin hiçbir aşamasında geri bildirim yapılmaması; Yeterince eğitim verilmemesi; Satış danışmanlarının inisiyatif almaması,7.0,8.0,7.0,6.0,,7,"Ekranlar arası geçiş yavaş, rapor almak zor",5.0,1.0,1.0,,,,,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,6.0,55.6,Passive,7.0
DSI-00050,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-03-24,Stenos Denizli Merkezefendi,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Zilfa Durdu,Satış,Tüm segmentler,Satış müdürü,,3 yıldan fazla,91.2,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası),Uzun süredir çalışıyoruz,8.0,9.0,6.0,10.0,1.0,,Güvenilir bir kurum olması; Sabit faiz uygulaması,İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı,8.0,7.0,9.0,6.0,,5,"Ekranlar arası geçiş yavaş, rapor almak zor",10.0,1.0,1.0,,,,,6,Fiyat rekabetçi değil / hasar süreci yavaş,,1,6.0,55.6,Detractor,8.0
DSI-00051,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-11,Stenos Antalya Muratpaşa,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Cebesoy Şenkal Hayrioğlu,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,78.1,,,,,,,,,,,,,,,,,,7.0,9,,,,,,Hepiyi; Zurich; Axa,5.0,6.0,3,Fiyat rekabetçi değil / hasar süreci yavaş,,1,7.0,66.7,,5.0
DSI-00052,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-22,Stenos Denizli Merkezefendi,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Dincer Zengin,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,83.7,3.0,Önerdiğim birkaç finans kurumundan biridir,2.0,Stenos Auto Finans; Şekerbank,Onay süreleri kısa,10.0,10.0,10.0,10.0,1.0,,Yeniden borcu yapılandırması; Esnek ödeme planı sunması,Sürecin hiçbir aşamasında geri bildirim yapılmaması,10.0,8.0,10.0,10.0,,10,,9.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,Promoter,10.0
DSI-00053,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-04-26,Stenos Samsun İlkadım,Stenos Samsun İlkadım,Samsun,Karadeniz Bölgesi,Çağa Alemdar,Satış,Hafif ticari araçlar,Satış müdürü,,1 yıl – 3 yıl arası,62.4,2.0,Nadiren önerdiğim finans kurumudur,2.0,Stenos Auto Finans; OdeaBank; Burgan Bank,Uzun süredir çalışıyoruz,4.0,6.0,1.0,4.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Eski müşteriyi takip edebilme olanağı; Stenos CRM sisteminin iyi olması; Çözüm odaklı olmaları; Toplam paket sunması (sigorta gibi),Banka kadar esnek olunmaması; Telefonlara geri dönülmemesi; Eksik evrak bildiriminin geç haber verilmesi; Faizlerin yüksek olması,5.0,4.0,5.0,4.0,,4,"Ekranlar arası geçiş yavaş, rapor almak zor",4.0,1.0,1.0,,,,,1,Fiyat rekabetçi değil / hasar süreci yavaş,,1,4.0,33.3,Detractor,4.0
DSI-00054,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-07,Stenos Samsun İlkadım,Stenos Samsun İlkadım,Samsun,Karadeniz Bölgesi,Berrin Hançer Aksu,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,77.5,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Denizbank; HSBC Bank,Müşteri temsilcisi desteği iyi,7.0,7.0,7.0,6.0,1.0,,Eski müşteriyi takip edebilme olanağı; Stenos CRM sisteminin iyi olması; Çözüm odaklı olmaları; Güvenilir bir kurum olması,"Tecrübesiz çalışanlarının olması; Teknolojik alt yapılarının olmaması; İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı; Prim sisteminde acenteye ödeme yapılması, paranın kesintiye uğraması",6.0,99.0,7.0,8.0,,6,,7.0,2.0,1.0,,,,,4,Fiyat rekabetçi değil / hasar süreci yavaş,,2,8.0,77.8,Passive,7.0
DSI-00055,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-03-20,Stenos Malatya Battalgazi,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Yrd. Doç. İyiyürek Şendoğan Kısakürek,Satış,Tüm segmentler,2.El Satış Müdürü,,1 yıldan daha az bir süredir,46.8,3.0,Önerdiğim birkaç finans kurumundan biridir,2.0,Stenos Auto Finans; Şekerbank,Müşteri temsilcisi desteği iyi,4.0,5.0,3.0,4.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Eski müşteriyi takip edebilme olanağı; Düşük faiz uygulaması; Stenos CRM sisteminin iyi olması; Bankalar gibi şube limitinin olmaması,İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı; Telefonlara geri dönülmemesi; Yeterince eğitim verilmemesi; Evrakların sık sık kaybolması,6.0,3.0,6.0,3.0,,3,"Ekranlar arası geçiş yavaş, rapor almak zor",4.0,2.0,2.0,Süreçte hatırlamıyorum,,,,2,Fiyat rekabetçi değil / hasar süreci yavaş,,1,3.0,22.2,Detractor,4.0
DSI-00056,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-12-10,Stenos İstanbul Maslak,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Nurveren İnönü,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,71.6,2.0,Nadiren önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Burgan Bank,Evrak süreci daha basit,7.0,7.0,7.0,7.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Güvenilir bir kurum olması; Esnek ödeme planı sunması,Telefonların hep meşgul olması ya da cevap verilmemesi; Evrakların sık sık kaybolması,7.0,8.0,9.0,7.0,,5,,4.0,1.0,1.0,,,,,6,Fiyat rekabetçi değil / hasar süreci yavaş,,1,7.0,66.7,Passive,7.0
DSI-00057,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-12-23,Stenos Malatya Battalgazi,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Özgür Sezer,Satış,Tüm segmentler,Filo Satış Danışmanı,,1 yıl – 3 yıl arası,46.7,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; HSBC Bank; Akbank,Evrak süreci daha basit,6.0,5.0,7.0,6.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Yeniden borcu yapılandırması; Düşük faiz uygulaması,Kolay ulaşılır olmaması; Yoğun olmalarından dolayı işlerin ilerlememesi,1.0,6.0,5.0,7.0,,7,,5.0,1.0,1.0,,,,,6,Fiyat rekabetçi değil / hasar süreci yavaş,,1,7.0,66.7,Passive,6.0
DSI-00058,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-12-18,Stenos Bursa Nilüfer,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Onat Korutürk,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıldan daha az bir süredir,70.0,4.0,Kredi için en sık önerdiğim finans kurumudur,2.0,Stenos Auto Finans; Burgan Bank; Garanti Bankası,Uzun süredir çalışıyoruz,9.0,10.0,10.0,5.0,1.0,,Eski müşteriyi takip edebilme olanağı; Bankalar gibi şube limitinin olmaması; Çözüm odaklı olmaları; Toplam paket sunması (sigorta gibi),İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı; Evrakların yavaş kontrol edilmesi,7.0,9.0,10.0,8.0,,8,,7.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,Promoter,9.0
DSI-00059,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-05-23,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Ayşeana Canur Şafak Bilgin,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,79.4,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası),Müşteri temsilcisi desteği iyi,8.0,9.0,5.0,7.0,1.0,,Bankalar gibi şube limitinin olmaması; Esnek ödeme planı sunması; Eski müşteriyi takip edebilme olanağı; Kontaktaki kişilerin olumlu sıcak yaklaşımları,Telefonların hep meşgul olması ya da cevap verilmemesi; Evrakların sık sık kaybolması; Banka kadar esnek olunmaması; Yeterince eğitim verilmemesi,7.0,7.0,8.0,9.0,,8,,7.0,1.0,1.0,,,,,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Detractor,8.0
